id,created_by,created_date,modified_by,modified_date,version,name,unit_type_id,deleted
1,behrooz.mohamadi,2022-03-27 19:03:38.000000,behrooz.mohamadi,2022-03-27 19:00:42.000000,0,Cheese,1,false
2,behrooz.mohamadi,2022-03-27 19:03:38.000000,behrooz.mohamadi,2022-03-27 19:00:42.000000,0,Tomato sauce,2,false
3,behrooz.mohamadi,2022-03-27 19:03:38.000000,behrooz.mohamadi,2022-03-27 19:00:42.000000,0,Semolina flour,2,false
4,behrooz.mohamadi,2022-03-27 19:03:38.000000,behrooz.mohamadi,2022-03-27 19:00:42.000000,0,Onion,2,false
5,behrooz.mohamadi,2022-03-27 19:03:38.000000,behrooz.mohamadi,2022-03-27 19:00:42.000000,0,Baking powder,2,false
6,behrooz.mohamadi,2022-03-27 19:03:38.000000,behrooz.mohamadi,2022-03-27 19:00:42.000000,0,Sugar,2,false
7,behrooz.mohamadi,2022-03-27 19:03:38.000000,behrooz.mohamadi,2022-03-27 19:00:42.000000,0,Mushroom,2,false
8,behrooz.mohamadi,2022-03-27 19:03:38.000000,behrooz.mohamadi,2022-03-27 19:00:42.000000,0,Capsicum ,2,false
9,behrooz.mohamadi,2022-03-27 19:03:38.000000,behrooz.mohamadi,2022-03-27 19:00:42.000000,0,Oregano,2,false
10,behrooz.mohamadi,2022-03-27 19:03:38.000000,behrooz.mohamadi,2022-03-27 19:00:42.000000,0,Olive oil,2,false
11,behrooz.mohamadi,2022-03-27 19:03:38.000000,behrooz.mohamadi,2022-03-27 19:00:42.000000,0,Soy sauce,2,false
12,behrooz.mohamadi,2022-03-27 19:03:38.000000,behrooz.mohamadi,2022-03-27 19:00:42.000000,0,Garlic,2,false
13,behrooz.mohamadi,2022-03-27 19:03:38.000000,behrooz.mohamadi,2022-03-27 19:00:42.000000,0,Rice,2,false
14,behrooz.mohamadi,2022-03-27 19:03:38.000000,behrooz.mohamadi,2022-03-27 19:00:42.000000,0,Pasta,2,false
15,behrooz.mohamadi,2022-03-27 19:03:38.000000,behrooz.mohamadi,2022-03-27 19:00:42.000000,0,Red chilli,2,false
16,behrooz.mohamadi,2022-03-27 19:03:38.000000,behrooz.mohamadi,2022-03-27 19:00:42.000000,0,Chicken,2,false
17,behrooz.mohamadi,2022-03-27 19:03:38.000000,behrooz.mohamadi,2022-03-27 19:00:42.000000,0,Meet,2,false
18,behrooz.mohamadi,2022-03-27 19:03:38.000000,behrooz.mohamadi,2022-03-27 19:00:42.000000,0,Milk,2,false
19,behrooz.mohamadi,2022-03-27 19:03:38.000000,behrooz.mohamadi,2022-03-27 19:00:42.000000,0,Egg,7,false
